pkMemberSeason,fkMemberID,Season,MemberType,RatingPoints
1,2,2010 - 2011,Regular,4
2,3,2010 - 2011,First Year,1
3,4,2010 - 2011,Regular,8
4,5,2010 - 2011,Regular,3
5,6,2010 - 2011,Regular,4
6,7,2010 - 2011,Regular,8
7,8,2010 - 2011,Regular,14
8,9,2010 - 2011,Regular,8
9,10,2010 - 2011,Regular,3
10,11,2010 - 2011,Honorary,0
11,12,2010 - 2011,Honorary,0
12,13,2010 - 2011,Regular,14
13,14,2010 - 2011,Unknown,0
14,15,2010 - 2011,First Year,1
15,16,2010 - 2011,Regular,16
16,17,2010 - 2011,Regular,14
17,18,2010 - 2011,Unknown,0
18,19,2010 - 2011,Unknown,0
19,20,2010 - 2011,Regular,15
20,21,2010 - 2011,First Year,1
21,22,2010 - 2011,Regular,10
22,23,2010 - 2011,Regular,9
23,24,2010 - 2011,Regular,17
24,25,2010 - 2011,Regular,18
25,26,2010 - 2011,First Year,1
26,27,2010 - 2011,Regular,4
27,28,2010 - 2011,Regular,12
28,29,2010 - 2011,Regular,10
29,30,2010 - 2011,Regular,8
30,31,2010 - 2011,Regular,5
31,32,2010 - 2011,Unknown,0
32,33,2010 - 2011,Regular,8
33,34,2010 - 2011,Regular,15
34,35,2010 - 2011,Regular,5
35,36,2010 - 2011,Regular,15
36,37,2010 - 2011,Regular,18
37,38,2010 - 2011,Regular,16
38,39,2010 - 2011,Regular,2
39,40,2010 - 2011,Regular,3
40,41,2010 - 2011,Regular,8
41,42,2010 - 2011,Regular,5
42,43,2010 - 2011,First Year,1
43,44,2010 - 2011,Regular,8
44,45,2010 - 2011,Regular,16
45,46,2010 - 2011,Regular,18
46,47,2010 - 2011,Unknown,0
47,48,2010 - 2011,Unknown,0
48,49,2010 - 2011,First Year,1
49,50,2010 - 2011,First Year,1
50,51,2010 - 2011,Life,0
51,52,2010 - 2011,First Year,1
52,53,2010 - 2011,Regular,8
53,54,2010 - 2011,Unknown,0
54,55,2010 - 2011,Regular,7
55,56,2010 - 2011,First Year,1
56,57,2010 - 2011,Regular,3
57,58,2010 - 2011,Regular,4
58,59,2010 - 2011,Regular,5
59,60,2010 - 2011,Regular,20
60,61,2010 - 2011,Regular,20
61,62,2010 - 2011,Honorary,0
62,63,2010 - 2011,Senior,0
63,64,2010 - 2011,Regular,6
64,65,2010 - 2011,Regular,18
65,66,2010 - 2011,Regular,17
66,67,2010 - 2011,Regular,3
67,68,2010 - 2011,Regular,15
68,69,2010 - 2011,Mixed,0
69,70,2010 - 2011,Competitive,0
70,71,2010 - 2011,Regular,9
71,72,2010 - 2011,Regular,7
72,73,2010 - 2011,Regular,2
73,74,2010 - 2011,Regular,13
74,75,2010 - 2011,Regular,18
75,76,2010 - 2011,Regular,11
76,77,2010 - 2011,First Year,1
77,78,2010 - 2011,First Year,1
78,79,2010 - 2011,Regular,17
79,80,2010 - 2011,Regular,17
80,81,2010 - 2011,Regular,15
81,82,2010 - 2011,Regular,16
82,83,2010 - 2011,Regular,8
83,84,2010 - 2011,Regular,2
84,85,2010 - 2011,Mixed,0
85,86,2010 - 2011,Senior,0
86,87,2010 - 2011,First Year,1
87,88,2010 - 2011,First Year,1
88,89,2010 - 2011,First Year,1
89,90,2010 - 2011,Regular,6
90,91,2010 - 2011,Regular,7
91,92,2010 - 2011,Regular,15
92,93,2010 - 2011,Regular,13
93,94,2010 - 2011,Regular,17
94,95,2010 - 2011,First Year,1
95,96,2010 - 2011,Honorary,0
96,97,2010 - 2011,Life,0
97,98,2010 - 2011,First Year,1
98,99,2010 - 2011,Regular,17
99,100,2010 - 2011,Regular,9
100,101,2010 - 2011,Regular,13
101,102,2010 - 2011,Regular,19
102,103,2010 - 2011,First Year,1
103,104,2010 - 2011,Regular,6
104,105,2010 - 2011,Regular,11
105,106,2010 - 2011,Regular,2
106,107,2010 - 2011,Regular,12
107,108,2010 - 2011,Regular,13
108,109,2010 - 2011,Regular,7
109,110,2010 - 2011,Regular,11
110,111,2010 - 2011,Regular,19
111,112,2010 - 2011,Regular,5
112,113,2010 - 2011,Regular,10
113,114,2010 - 2011,Regular,7
114,115,2010 - 2011,Regular,15
115,116,2010 - 2011,First Year,1
116,117,2010 - 2011,Regular,16
117,118,2010 - 2011,Regular,11
118,119,2010 - 2011,Regular,6
119,120,2010 - 2011,Unknown,0
120,121,2010 - 2011,Regular,11
121,122,2010 - 2011,Regular,19
122,123,2010 - 2011,Regular,8
123,124,2010 - 2011,Regular,14
124,125,2010 - 2011,First Year,1
125,126,2010 - 2011,Regular,6
126,127,2010 - 2011,Regular,11
127,128,2010 - 2011,First Year,1
128,129,2010 - 2011,Regular,19
129,130,2010 - 2011,Regular,15
130,131,2010 - 2011,Regular,17
131,132,2010 - 2011,Regular,14
132,133,2010 - 2011,Regular,4
133,134,2010 - 2011,Regular,10
